69,Future work: someone gets the trend of kbb price,""
68,Published papers,""
67,Get a video demo ,7702035
66,scrape model an put it in cars.json,""
65,We need separate huge .csv file,""
64,Meeting today,""
63,Topics to finish ,""
62,Full test for kbb,""
61,Report assignment,4010644
59,Kbb price missing from emails received,""
58,Wrong crawling result from the page,""
57,"the unit of the mileage in craiglist is sometime kilo mileage, we need to change the code ",4010644
56,"We only send the car in one day, but there are three days now  ",7702035
55,Future of our project ,4010644
54,Reference of our project,7702035
53,web stress test,10458961
52,Scrape craiglist once every day in order to reduce time,""
51,Open a new process to send others email every day?,""
50,The link in the email is not working,""
49,Time changing for the project,""
48,How to compare two crawlering strategies?,""
47,There is white Space in Input,""
46,One good tutorial for scrapy,""
45, Heroku's 60s boot timeout ,""
44,1X dynos support no more than 256 processes in heroku?,""
43,craglist crawler miss some cars,""
42,Make the generated html easier to read?,""
41,Bug,""
40,Login,""
39,Why is there little difference between the price I scraped and that I click on the website?,""
38,"I put my sendemail account and password in the code, and it is compromised",""
37,Python unit testing framework,""
36,Add a milestone in github according to the ppt,""
35,"How to set up heroku, should we come up with a document?",""
34,The website didn't work well on firefox?,""
33,"Run a program once every day? schedule.enter(delay, priority, action, arguments)",""
32,Connect to Heroku remote database in python?,""
31,Send email,""
30,How to test our framework in Heroku?,""
29,Add select options on web page.,7702035
28,We need use PostgreSQL database on Heroku,""
27,We have already deploy our web on Heroku,""
26,"I have set a simple web, How to upload my web?",""
25,We need Django framework to construct our web application,7702035
24,I think we need a light-weighted database on web application,""
23,May be I should install IE on Ubuntu and try Subscribe again.,7702035
22,Subscribe not working?,7702035
21,"use javascript to manipulate .txt file, but only in IE browser",7702035
20,Getting information from users,""
19,Function design for interaction model,""
18,Function design for view,7702035
17,Function design for model,""
16,"If we store the price information from kbb in our database and send it to users, will it infringe the copyright?",""
15,System test,""
14,How to make the program run only once every day in the server,""
13,error: commit your changes or stash them before you can merge.Aborting,""
12,We need XML or json to store data,""
11,"If we use ruby to build the webpage and use python for coding, will the compatibility be a problem?",""
10,"What's the meaning of ""lower()"" ?",""
9,Why there are so many time points printed during crawling?,""
8,Web Service,""
7,What user information do we need in our web ,""
6,"car id for make, model, year, type",""
5,How to merge several branches in github?,""
4,unit test for kbb ,""
3,web framework,""
2,kbb crawler,""
